0,	1,	16352,	26231808,	3396786697.000000
0,	1,	16352,	26231808,	3410631124.000000
0,	1,	16352,	26231808,	3236645157.000000
0,	1,	16352,	26231808,	2902140984.000000
0,	1,	16352,	26231808,	3171184771.000000
0,	1,	16352,	26231808,	2829267842.000000
0,	1,	16352,	26231808,	3591852402.000000
0,	1,	16352,	26231808,	3397996744.000000
0,	1,	16352,	26231808,	3150997426.000000
0,	1,	16352,	26231808,	2393247047.000000
0,	1,	16352,	26231808,	2322993416.000000
0,	1,	16352,	26231808,	2338421371.000000
0,	1,	16352,	26231808,	2300656606.000000
0,	1,	16352,	26231808,	2281498262.000000
0,	1,	16352,	26231808,	2407975217.000000
0,	1,	16352,	26231808,	2404122280.000000
0,	1,	16352,	26231808,	2819249653.000000
0,	1,	16352,	26231808,	2468927871.000000
0,	1,	16352,	26231808,	2416870402.000000
0,	1,	16352,	26231808,	2316167224.000000
0,	1,	16352,	26231808,	2399558024.000000
0,	1,	16352,	26231808,	2397993525.000000
0,	1,	16352,	26231808,	2349997315.000000
0,	1,	16352,	26231808,	2330826032.000000
0,	1,	16352,	26231808,	2610079986.000000
0,	1,	16352,	26231808,	2281422167.000000
0,	1,	16352,	26231808,	2377758676.000000
0,	1,	16352,	26231808,	2319913204.000000
0,	1,	16352,	26231808,	2404285288.000000
0,	1,	16352,	26231808,	2408731918.000000
0,	1,	16352,	26231808,	2374283109.000000
0,	1,	16352,	26231808,	2313417476.000000
0,	1,	16352,	26231808,	2415885267.000000
0,	1,	16352,	26231808,	4291065610.000000
0,	1,	16352,	26231808,	3812949725.000000
0,	1,	16352,	26231808,	2326343103.000000
0,	1,	16352,	26231808,	2457696419.000000
0,	1,	16352,	26231808,	2511358165.000000
0,	1,	16352,	26231808,	2694269532.000000
0,	1,	16352,	26231808,	2284289603.000000
0,	1,	16352,	26231808,	2336893496.000000
0,	1,	16352,	26231808,	2360885521.000000
0,	1,	16352,	26231808,	2407677336.000000
0,	1,	16352,	26231808,	2397392808.000000
0,	1,	16352,	26231808,	2386684785.000000
0,	1,	16352,	26231808,	2435350515.000000
0,	1,	16352,	26231808,	2357756180.000000
0,	1,	16352,	26231808,	2476798064.000000
0,	1,	16352,	26231808,	2377758048.000000
0,	1,	16352,	26231808,	2583715294.000000
0,	1,	16352,	26231808,	2493452745.000000
0,	1,	16352,	26231808,	2311983394.000000
0,	1,	16352,	26231808,	2319070850.000000
0,	1,	16352,	26231808,	2386034358.000000
0,	1,	16352,	26231808,	2626709730.000000
0,	1,	16352,	26231808,	2447408482.000000
0,	1,	16352,	26231808,	2292477605.000000
0,	1,	16352,	26231808,	2401071696.000000
0,	1,	16352,	26231808,	2371952424.000000
0,	1,	16352,	26231808,	2382665488.000000
0,	1,	16352,	26231808,	2520389847.000000
0,	1,	16352,	26231808,	2360543575.000000
0,	1,	16352,	26231808,	2397413564.000000
0,	1,	16352,	26231808,	2687152836.000000
0,	1,	16352,	26231808,	2838406733.000000
0,	1,	16352,	26231808,	2641684026.000000
0,	1,	16352,	26231808,	2666100009.000000
0,	1,	16352,	26231808,	2654878510.000000
0,	1,	16352,	26231808,	2666515318.000000
0,	1,	16352,	26231808,	2767626327.000000
0,	1,	16352,	26231808,	2721588484.000000
0,	1,	16352,	26231808,	2386424529.000000
0,	1,	16352,	26231808,	2605967355.000000
0,	1,	16352,	26231808,	2502025931.000000
0,	1,	16352,	26231808,	2450163940.000000
0,	1,	16352,	26231808,	2555275750.000000
0,	1,	16352,	26231808,	2273923143.000000
0,	1,	16352,	26231808,	2459354042.000000
0,	1,	16352,	26231808,	2191338901.000000
0,	1,	16352,	26231808,	2327437678.000000
0,	1,	16352,	26231808,	2446560358.000000
0,	1,	16352,	26231808,	2288342567.000000
0,	1,	16352,	26231808,	2328932804.000000
0,	1,	16352,	26231808,	2337312835.000000
0,	1,	16352,	26231808,	2266059437.000000
0,	1,	16352,	26231808,	2387399327.000000
0,	1,	16352,	26231808,	2435321949.000000
0,	1,	16352,	26231808,	2440151806.000000
0,	1,	16352,	26231808,	2431952771.000000
0,	1,	16352,	26231808,	2347032659.000000
0,	1,	16352,	26231808,	2507184119.000000
0,	1,	16352,	26231808,	2411763705.000000
0,	1,	16352,	26231808,	2547603629.000000
0,	1,	16352,	26231808,	2435771308.000000
0,	1,	16352,	26231808,	2239445412.000000
0,	1,	16352,	26231808,	2351155585.000000
0,	1,	16352,	26231808,	2460842835.000000
0,	1,	16352,	26231808,	2487534662.000000
0,	1,	16352,	26231808,	2278087337.000000
0,	1,	16352,	26231808,	2392054255.000000
